Field1,Field2,nope,Field4
katyperry,rihanna,yup,yup
katyperry,ladygaga,yup,yup
katyperry,twitter,nope,nope
katyperry,selenagomez,yup,yup
katyperry,shakira,nope,nope
katyperry,nytimes,nope,nope
katyperry,onedirection,nope,nope
katyperry,wizkhalifa,nope,nope
katyperry,neymarjr,nope,nope
katyperry,narendramodi,nope,nope
katyperry,pitbull,nope,yup
katyperry,khloekardashian,nope,nope
katyperry,kourtneykardash,nope,nope
katyperry,realmadrid,nope,nope
katyperry,zaynmalik,nope,yup
katyperry,realdonaldtrump,nope,nope
katyperry,vine,nope,nope
katyperry,ricky_martin,nope,nope
katyperry,shugairi,nope,nope
katyperry,xtina,nope,nope
katyperry,priyankachopra,yup,yup
justinbieber,katyperry,nope,nope
justinbieber,taylorswift13,nope,yup
justinbieber,rihanna,yup,nope
justinbieber,ladygaga,yup,nope
justinbieber,twitter,yup,nope
justinbieber,selenagomez,yup,yup
justinbieber,shakira,yup,nope
justinbieber,nytimes,yup,nope
justinbieber,onedirection,yup,yup
justinbieber,wizkhalifa,yup,yup
justinbieber,kanyewest,yup,nope
justinbieber,neymarjr,yup,yup
justinbieber,narendramodi,yup,nope
justinbieber,pitbull,yup,yup
justinbieber,khloekardashian,yup,nope
justinbieber,kourtneykardash,yup,yup
justinbieber,realmadrid,nope,nope
justinbieber,zaynmalik,yup,yup
justinbieber,realdonaldtrump,nope,nope
justinbieber,vine,nope,nope
justinbieber,ricky_martin,nope,nope
justinbieber,shugairi,nope,nope
justinbieber,xtina,nope,nope
justinbieber,priyankachopra,nope,nope
taylorswift13,twitter,nope,nope
taylorswift13,wizkhalifa,yup,nope
taylorswift13,zaynmalik,nope,yup
taylorswift13,vine,yup,nope
taylorswift13,xtina,nope,nope
barackobama,katyperry,nope,nope
barackobama,justinbieber,nope,yup
barackobama,taylorswift13,nope,nope
barackobama,rihanna,nope,nope
barackobama,youtube,nope,yup
barackobama,ladygaga,nope,yup
barackobama,theellenshow,nope,yup
barackobama,twitter,nope,nope
barackobama,jtimberlake,nope,yup
barackobama,britneyspears,nope,nope
barackobama,kimkardashian,nope,nope
barackobama,cristiano,nope,nope
barackobama,selenagomez,nope,nope
barackobama,cnnbrk,nope,nope
