source,target,type
katyperry,rihanna,directed
rihanna,katyperry,directed
katyperry,ladygaga,directed
ladygaga,katyperry,directed
katyperry,selenagomez,directed
selenagomez,katyperry,directed
pitbull,katyperry,directed
zaynmalik,katyperry,directed
katyperry,priyankachopra,directed
priyankachopra,katyperry,directed
taylorswift13,justinbieber,directed
justinbieber,rihanna,directed
justinbieber,ladygaga,directed
justinbieber,twitter,directed
justinbieber,selenagomez,directed
selenagomez,justinbieber,directed
justinbieber,shakira,directed
justinbieber,nytimes,directed
justinbieber,onedirection,directed
onedirection,justinbieber,directed
justinbieber,wizkhalifa,directed
wizkhalifa,justinbieber,directed
justinbieber,kanyewest,directed
justinbieber,neymarjr,directed
neymarjr,justinbieber,directed
justinbieber,narendramodi,directed
justinbieber,pitbull,directed
pitbull,justinbieber,directed
justinbieber,khloekardashian,directed
justinbieber,kourtneykardash,directed
kourtneykardash,justinbieber,directed
justinbieber,zaynmalik,directed
zaynmalik,justinbieber,directed
taylorswift13,wizkhalifa,directed
zaynmalik,taylorswift13,directed
taylorswift13,vine,directed
justinbieber,barackobama,directed
youtube,barackobama,directed
ladygaga,barackobama,directed
theellenshow,barackobama,directed
jtimberlake,barackobama,directed
jimmyfallon,barackobama,directed
shakira,barackobama,directed
ddlovato,barackobama,directed
drake,barackobama,directed
billgates,barackobama,directed
barackobama,kevinhart4real,directed
kevinhart4real,barackobama,directed
niallofficial,barackobama,directed
kaka,barackobama,directed
narendramodi,barackobama,directed
danieltosh,barackobama,directed
barackobama,aliciakeys,directed
aliciakeys,barackobama,directed
srbachchan,barackobama,directed
nba,barackobama,directed
emmawatson,barackobama,directed
pitbull,barackobama,directed
khloekardashian,barackobama,directed
davidguetta,barackobama,directed
nfl,barackobama,directed
nickiminaj,barackobama,directed
zaynmalik,barackobama,directed
barackobama,theeconomist,directed
aplusk,barackobama,directed
barackobama,mariahcarey,directed
mariahcarey,barackobama,directed
leodicaprio,barackobama,directed
ricky_martin,barackobama,directed
shugairi,barackobama,directed
agnezmo,barackobama,directed
barackobama,ryanseacrest,directed
ryanseacrest,barackobama,directed
barackobama,snoopdogg,directed
snoopdogg,barackobama,directed
